,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
758587,for_sale,3.0,2.0,0.13,Bergenfield,New Jersey,7621.0,1670.0,2011-12-27,489000.0
758588,for_sale,3.0,2.0,0.05,Briarwood,New York,11435.0,1280.0,2009-01-20,799000.0
758596,for_sale,4.0,3.0,0.07,Bronx,New York,10461.0,2162.0,2006-04-19,799999.0
758597,for_sale,6.0,3.0,0.06,Bronx,New York,10466.0,2896.0,2021-07-14,999000.0
758601,for_sale,5.0,6.0,0.03,New York City,New York,10013.0,8040.0,2006-05-31,16000000.0
758608,for_sale,4.0,4.0,0.11,Bronx,New York,10465.0,2396.0,2004-05-11,1250000.0
758611,for_sale,5.0,5.0,0.05,New York City,New York,11233.0,2700.0,2013-06-10,1895000.0
758614,for_sale,3.0,3.0,0.05,Brooklyn,New York,11203.0,2242.0,2003-01-14,899000.0
758625,for_sale,3.0,2.0,0.03,Prosp Leff Gdns,New York,11225.0,1440.0,2018-12-12,995000.0
758634,for_sale,3.0,3.0,0.04,Flushing,New York,11355.0,1224.0,2018-06-26,1190000.0
758642,for_sale,3.0,2.0,0.04,Brooklyn,New York,11212.0,1148.0,1987-02-18,575000.0
758643,for_sale,3.0,2.0,0.04,Bronx,New York,10473.0,1080.0,2004-08-24,547000.0
758645,for_sale,3.0,2.0,0.05,Bronx,New York,10462.0,1613.0,2009-06-30,699000.0
758648,for_sale,3.0,2.0,0.25,Bronx,New York,10463.0,1237.0,2015-11-25,695000.0
758676,for_sale,2.0,2.0,0.06,New York City,New York,11222.0,1073.0,2018-12-26,1495000.0
758699,for_sale,4.0,3.0,0.05,New York,New York,11208.0,1692.0,1995-11-27,709999.0
758704,for_sale,5.0,3.0,0.14,Flushing,New York,11358.0,2040.0,2015-01-09,1250000.0
758706,for_sale,3.0,4.0,0.09,Fresh Meadows,New York,11366.0,2181.0,2004-11-08,1850000.0
758707,for_sale,5.0,3.0,0.06,Richmond Hill,New York,11418.0,2400.0,1997-06-02,989000.0
758713,for_sale,5.0,3.0,0.09,Richmond Hill South,New York,11419.0,1936.0,2017-08-29,1030000.0
758720,for_sale,6.0,5.0,0.09,Bayside,New York,11360.0,3002.0,1995-04-19,1948888.0
758724,for_sale,3.0,3.0,0.03,Bronx,New York,10473.0,1206.0,2007-05-07,450000.0
758727,for_sale,3.0,2.0,0.06,Bronx,New York,10469.0,1152.0,2018-04-25,530000.0
758741,for_sale,9.0,4.0,0.04,Bronx,New York,10473.0,2820.0,1999-07-01,969000.0
758745,for_sale,3.0,3.0,0.04,Middle Village,New York,11379.0,1370.0,2002-06-25,849999.0
758754,for_sale,10.0,7.0,0.06,Brooklyn,New York,11207.0,4250.0,2012-04-24,2900000.0
758767,for_sale,10.0,4.0,0.24,Mount Vernon,New York,10550.0,5110.0,2006-02-16,749000.0
758770,for_sale,3.0,3.0,0.05,Brooklyn,New York,11203.0,1560.0,2005-09-06,679000.0
758774,for_sale,5.0,2.0,0.06,Bronx,New York,10467.0,2052.0,2007-03-07,800000.0
758779,for_sale,3.0,3.0,0.06,Bronx,New York,10471.0,1770.0,2013-10-04,1225000.0
758781,for_sale,3.0,2.0,0.04,Bronx,New York,10466.0,1813.0,2017-02-24,730000.0
758789,for_sale,5.0,2.0,0.06,Bronx,New York,10469.0,2024.0,2017-12-06,699000.0
758806,for_sale,2.0,2.0,0.03,East Elmhurst,New York,11369.0,1500.0,2020-01-29,685000.0
758808,for_sale,3.0,2.0,0.12,Yonkers,New York,10704.0,1343.0,1996-08-28,595900.0
758815,for_sale,4.0,2.0,0.05,Brooklyn,New York,11221.0,2400.0,1983-08-01,1389000.0
758821,for_sale,1.0,1.0,0.3,New York City,New York,10128.0,562.0,2010-02-12,799000.0
758824,for_sale,5.0,6.0,3.02,Sands Point,New York,11050.0,5411.0,1990-06-29,3500000.0
758843,for_sale,12.0,6.0,0.06,Brooklyn,New York,11222.0,4860.0,2010-02-26,1599000.0
758870,for_sale,5.0,2.0,0.06,Long Island City,New York,11105.0,800.0,1996-07-11,1250000.0
758895,for_sale,2.0,2.0,0.06,Bronx,New York,10464.0,1041.0,2022-01-10,595000.0
758897,for_sale,3.0,1.0,0.03,Newark,New Jersey,7104.0,942.0,2010-05-10,255000.0
758922,for_sale,6.0,4.0,0.04,New York City,New York,11231.0,4293.0,2015-01-23,2995000.0
758924,for_sale,6.0,5.0,0.06,Woodside,New York,11377.0,1872.0,2006-02-23,1388888.0
758925,for_sale,5.0,4.0,0.05,New York City,New York,10065.0,4500.0,2015-04-24,9950000.0
758931,for_sale,2.0,2.0,0.39,New York City,New York,10019.0,1063.0,2010-05-17,1595000.0
758940,for_sale,6.0,3.0,0.08,Bloomfield,New Jersey,7003.0,3395.0,1994-06-17,610000.0
758954,for_sale,1.0,1.0,0.51,Bronx,New York,10451.0,688.0,2010-02-23,320000.0
758963,for_sale,6.0,2.0,0.04,Bronx,New York,10462.0,1676.0,1997-10-21,659000.0
758965,for_sale,4.0,4.0,0.32,Great Neck,New York,11024.0,4800.0,1997-12-03,2575000.0
758968,for_sale,7.0,3.0,0.03,Bronx,New York,10472.0,2717.0,2010-08-25,899000.0
758974,for_sale,6.0,3.0,0.05,Ridgewood,New York,11385.0,2200.0,2004-09-16,1188000.0
758977,for_sale,5.0,3.0,0.06,Jackson Heights,New York,11372.0,2612.0,1995-02-17,1729000.0
758994,for_sale,3.0,2.0,0.12,Nutley,New Jersey,7110.0,1236.0,2016-07-21,459000.0
759011,for_sale,4.0,3.0,0.11,Howard Beach,New York,11414.0,2449.0,2019-10-10,1325000.0
759012,for_sale,3.0,3.0,0.04,East Elmhurst,New York,11370.0,1890.0,2016-09-12,1149999.0
759027,for_sale,2.0,2.0,0.7,New York City,New York,11109.0,1153.0,2010-09-10,1995000.0
759037,for_sale,5.0,2.0,0.05,Glendale,New York,11385.0,1900.0,2016-07-21,890000.0
759047,for_sale,6.0,3.0,0.03,Bronx,New York,10457.0,2784.0,2015-03-17,779000.0
759080,for_sale,4.0,2.0,0.06,Bayside,New York,11364.0,1584.0,1985-03-14,1250000.0
759081,for_sale,4.0,3.0,0.07,Forest Hills,New York,11375.0,2700.0,2015-07-16,1659000.0
759118,for_sale,3.0,3.0,0.06,Maspeth,New York,11378.0,1873.0,1990-06-26,929000.0
759119,for_sale,3.0,1.0,0.06,Mount Vernon,New York,10550.0,1226.0,2011-06-13,419000.0
759129,for_sale,5.0,5.0,0.04,New York City,New York,11231.0,3165.0,2014-03-04,2295000.0
